id;domaine;appellation;millesime;couleur;cru;contenance;emplacement;date_entree;date_sortie;prix_achat;garde_min;garde_max;commentaire_entree;note_degus;commentaire_degus;fournisseur_nom;fournisseur_infos;producteur
0d2b110a-34c1-471d-a575-e206f7a3dbfd;Château Lynch-Bages;Pauillac;2018;Rouge;CRU CLASSE;75 cl;Cave > Casier 1;2021-06-15;;65;8;20;2018 futures purchase;;;Millésima;bordeaux-en-primeur.fr;
afe4b3e1-68a6-4a88-90c6-512d04cb7873;Les Pagodes de Cos;Saint-Estèphe;2019;Rouge;;75 cl;Cave > Casier 1;2022-03-10;;45;5;15;Personal selection;;;Cave Nicolas;;
de3b48ad-152b-4462-a07f-a1cffc6e822b;Château Léoville Barton;Saint-Julien;2021;Rouge;CRU CLASSE;75 cl;Cave > Casier 1;2024-02-20;;55;8;20;2021 futures — needs time;;;Millésima;bordeaux-en-primeur.fr;
e7678f83-84fd-4dbd-9b75-64d1f1959ffe;Château Sociando-Mallet;Haut-Médoc;2017;Rouge;CRU BOURGEOIS;75 cl;Cave > Casier 1;2020-09-05;;25;7;15;Great value discovery;;;Cave Nicolas;;
6368867f-6a42-469d-9fd3-9df5601d0b10;Château Pontet-Canet;Pauillac;2016;Rouge;CRU CLASSE;75 cl;Cave > Casier 1;2019-11-20;;75;8;18;Excellent Pauillac vintage;;;Château direct;;
d5ca8d74-d5cf-4390-8ec8-f29cd8238448;Château Mouton Rothschild;Pauillac;2015;Rouge;CRU CLASSE;75 cl;Cave > Casier 1;2019-04-01;;400;10;30;Wedding anniversary gift;;;Sotheby's Wine;sothebys.com;
ba73547b-5fe9-4272-9d21-d6ba8cb7fb95;Château Troplong Mondot;Saint-Émilion Grand Cru;2014;Rouge;GRAND CRU CLASSE;75 cl;Cave > Casier 1;2018-08-12;;60;8;10;Drink soon — past optimal window;;;Cave Nicolas;;
8b1516af-84d4-4df1-8c9a-53fe4efaf4c6;Château Gazin;Pomerol;2013;Rouge;;75 cl;Cave > Casier 1;2017-05-30;;70;8;10;Elegant Pomerol;;;La Vinothèque;;
d25e96ba-7ff7-4b26-8aac-249b9997a1cf;Vieux Château Certan;Pomerol;2022;Rouge;;75 cl;Cave > Casier 1;2024-11-15;;130;10;25;2022 futures — very promising;;;Millésima;bordeaux-en-primeur.fr;
384cf94b-7ea5-4527-b643-4935abd9a9de;Château La Tour de By;Médoc;2020;Rouge;CRU BOURGEOIS;75 cl;Cave > Casier 1;2023-01-08;;15;4;10;Good value Médoc;;;Cave Nicolas;;
