id;domaine;appellation;millesime;couleur;cru;contenance;emplacement;date_entree;date_sortie;prix_achat;garde_min;garde_max;commentaire_entree;note_degus;commentaire_degus;fournisseur_nom;fournisseur_infos;producteur
82f059a2-3ed6-4079-97da-f611d1fe8194;Les Cherbaudes;Gevrey-chambertin Premier Cru;2015;Rouge;1ER CRU;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2021-12-27;;90;8;15;Cadeau Christine Noel 2021;;;;;
497097e7-375a-4985-ae77-7e16471956f0;Vignes de l'Enfant Jesus - Monopole;Beaune Premier Cru Les Greves;2017;Rouge;1ER CRU;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2021-12-27;;90;8;10;cadeau de mes enfants et Thomas Noel 2021;;;;;
2b3abb64-b96f-4f42-ab10-e70e1e4ec9c3;Les Pagodes de Cos;Saint-Estèphe;2018;Rouge;;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2024-12-07;;50;5;12;cadeau anniv Christine 2024;;;;;
d667b321-2bd8-42a4-95eb-571fea67ce21;Les Pagodes de Cos;Saint-Estèphe;2018;Rouge;;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2024-12-07;;50;5;12;cadeau anniv Christine 2025;;;;;
4a8eb0bc-a21d-494a-83a5-37662a004acc;Les Jeunes Rois;Gevrey-chambertin;2020;Rouge;;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2022-12-16;;50;4;8;Cadeau Océane et Ghislain anniv 2022. Question posée au producteur pour potentiel de garde.;;;;;
9f479689-20e3-4301-94aa-4b5b56cc15b2;Capuano Ferreri;Chassagne-montrachet;2018;Rouge;;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2021-12-07;;45;5;10;cadeau Christine anniv 2021;;;;;
5303058b-c6fb-4a12-8c8c-030894c99289;Les Grandes Vignes;Nuits-Saint-Georges;2018;Rouge;;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2021-02-14;;45;6;10;Cadeau Saint Valentin Christine;;;;;
29b9e5ac-046c-4417-b8f2-badf238de929;Les Grandes Vignes;Nuits-Saint-Georges;2018;Rouge;;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2021-02-14;;45;6;10;Cadeau Saint Valentin Christine;;;;;
3c889fd2-06eb-427b-8910-0d81484e9841;Doamine Faiveley;Mercurey;2021;Rouge;;Bouteille 75 cL;Cave garde > Etagère 3 > Casier D;2023-12-17;;40;4;6;Offert par Océane et MAt Noël 2023;;;;;
76dea42b-055f-49c7-bada-b618432a3a79;domaine dubois d'Orgeval;Aloxe-Corton;2019;Rouge;;Bouteille 75 cL;Cave garde > Etagère 3 > Casier D;2023-12-17;;35;5;8;Cadeau Alex et Adeline anniv 2023;;;;;
